,Unnamed: 0,NeighborhoodBogota,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
198,198,PUENTE ARANDA,4.6149,-74.1227,Teriyaki Plaza Central,4.631553,-74.116258,Japanese Restaurant
201,201,USAQUÉN,4.730458,-74.035666,Harvey,4.72691051201831,-74.0357213800509,Fast Food Restaurant
202,202,USAQUÉN,4.730458,-74.035666,Da Quei Matti,4.72882880056242,-74.04109138714085,Italian Restaurant
208,208,USAQUÉN,4.730458,-74.035666,Thai Station,4.72888457937698,-74.0409713736933,Thai Restaurant
209,209,USAQUÉN,4.730458,-74.035666,Casa Mexicana Express,4.72571,-74.03806,Mexican Restaurant
211,211,USAQUÉN,4.730458,-74.035666,Wok,4.719637370608767,-74.03748908455442,Asian Restaurant
215,215,USAQUÉN,4.730458,-74.035666,avenida cero,4.724628,-74.033238,Restaurant
221,221,USAQUÉN,4.730458,-74.035666,Arepas Venezolanas El Yaque,4.72738360166065,-74.03692322710262,Restaurant
233,233,USAQUÉN,4.730458,-74.035666,Crepes & Waffles,4.722397106033887,-74.0467157371229,French Restaurant
250,250,BOGOTÁ,4.644584,-74.06563,Bogotá Burger,4.641284938645988,-74.0638118257236,Fast Food Restaurant
252,252,BOGOTÁ,4.644584,-74.06563,La Cocinita Verde,4.646735130167527,-74.06176527283094,Vegetarian / Vegan Restaurant
254,254,BOGOTÁ,4.644584,-74.06563,El Verdugo,4.6402736,-74.060646,Vegetarian / Vegan Restaurant
260,260,BOGOTÁ,4.644584,-74.06563,Mesa Franca,4.641110080911217,-74.06193389651835,Restaurant
264,264,BOGOTÁ,4.644584,-74.06563,Emilia Grace,4.6480820054925776,-74.05762016173774,Italian Restaurant
266,266,BOGOTÁ,4.644584,-74.06563,Bistecca e Vino,4.651035081109635,-74.05793086537695,Italian Restaurant
269,269,BOGOTÁ,4.644584,-74.06563,Cantina Y Punto,4.648893115609529,-74.05695787403972,Mexican Restaurant
278,278,BOGOTÁ,4.644584,-74.06563,Oak: Ahumados & Brebajes,4.653821,-74.059718,American Restaurant
279,279,BOGOTÁ,4.644584,-74.06563,Criterión,4.651834296490814,-74.0559240314272,French Restaurant
284,284,BOGOTÁ,4.644584,-74.06563,El Chato,4.64802306306108,-74.05706483102693,Theme Restaurant
287,287,BOGOTÁ,4.644584,-74.06563,Nueve,4.655566942200805,-74.05923754660157,Tapas Restaurant
290,290,BOGOTÁ,4.644584,-74.06563,Coctel del Mar,4.657502,-74.065303,Seafood Restaurant
293,293,BOGOTÁ,4.644584,-74.06563,La Divina Comedia Trattoria,4.6536495333152,-74.05500319906139,Italian Restaurant
298,298,BOGOTÁ,4.644584,-74.06563,Osaki,4.653787276063438,-74.05461905719416,Sushi Restaurant
302,302,BOSA,4.6305,-74.1945,Kattharsis,4.605434177871303,-74.18582208546376,Restaurant
317,317,RAFAEL URIBE URIBE,4.5653,-74.1164,Al Chile Comida Mexicana.,4.581355828546837,-74.11576338358931,Mexican Restaurant
323,323,RAFAEL URIBE URIBE,4.5653,-74.1164,El imperio del Pacifico,4.583197344845602,-74.10343244347999,Seafood Restaurant
324,324,RAFAEL URIBE URIBE,4.5653,-74.1164,Tamales El Gordo,4.586183182646519,-74.12854351428504,Cajun / Creole Restaurant
325,325,RAFAEL URIBE URIBE,4.5653,-74.1164,Bar Pescadero Del Restrepo,4.587760644947771,-74.10726946002409,Seafood Restaurant
328,328,RAFAEL URIBE URIBE,4.5653,-74.1164,Wenbrulee,4.585942121458626,-74.09984623580628,Restaurant
342,342,RAFAEL URIBE URIBE,4.5653,-74.1164,El Carnal,4.591044520427467,-74.12447398102509,Mexican Restaurant
344,344,RAFAEL URIBE URIBE,4.5653,-74.1164,McDonald's,4.57832965192537,-74.13041033937334,Fast Food Restaurant
349,349,RAFAEL URIBE URIBE,4.5653,-74.1164,KFC,4.578355014214516,-74.13042180874075,Fast Food Restaurant
353,353,RAFAEL URIBE URIBE,4.5653,-74.1164,La mojarra roja,4.587491555732059,-74.10352994711299,Seafood Restaurant
354,354,RAFAEL URIBE URIBE,4.5653,-74.1164,Tatto's,4.585510206003034,-74.09937366649095,Fast Food Restaurant
365,365,KENNEDY,4.6268,-74.1573,Fantasías Del Mar,4.625800505961836,-74.1474542177538,Caribbean Restaurant
366,366,KENNEDY,4.6268,-74.1573,Empanadas de las Buenas,4.622304020752181,-74.15148833858753,Restaurant
367,367,KENNEDY,4.6268,-74.1573,La Jugueteria,4.6207876,-74.15141,Latin American Restaurant
376,376,KENNEDY,4.6268,-74.1573,Zoi Wok,4.626906132639257,-74.14632914353639,Asian Restaurant
379,379,KENNEDY,4.6268,-74.1573,McDonald's,4.620910182556525,-74.15180449606852,Fast Food Restaurant
380,380,KENNEDY,4.6268,-74.1573,La Toya,4.624359020107933,-74.1481948059814,Restaurant
385,385,KENNEDY,4.6268,-74.1573,Resturante El Carnal,4.619656501096342,-74.13510116231876,Mexican Restaurant
391,391,KENNEDY,4.6268,-74.1573,Crepes & Waffles,4.619374775491387,-74.1354109168324,French Restaurant
398,398,KENNEDY,4.6268,-74.1573,Sandwich Qbano Tintal Plaza,4.643193977209822,-74.15631784344278,Fast Food Restaurant
399,399,KENNEDY,4.6268,-74.1573,Azuki Manga,4.621088341247599,-74.13785266392195,Japanese Restaurant
400,400,KENNEDY,4.6268,-74.1573,La Poche Pescaderia,4.61206854353066,-74.13515846076845,Seafood Restaurant
403,403,KENNEDY,4.6268,-74.1573,Burguer Prehis,4.627695422603069,-74.14123230717871,Fast Food Restaurant
407,407,KENNEDY,4.6268,-74.1573,Cruzando Las Fronteras,4.64361569132763,-74.13719434728867,Fast Food Restaurant
410,410,KENNEDY,4.6268,-74.1573,Plaza de Comidas C.C. Plaza de las Americas,4.618077006815768,-74.13712553356763,Fast Food Restaurant
413,413,KENNEDY,4.6268,-74.1573,Harusame wok,4.637911135633219,-74.14026226658196,Asian Restaurant
415,415,BARRIOS UNIDOS,4.671811,-74.073197,Mi gran parrilla boyacense,4.666876162386872,-74.07484946800069,Latin American Restaurant
417,417,BARRIOS UNIDOS,4.671811,-74.073197,Jägerhütte,4.673405242923294,-74.06241071808965,German Restaurant
423,423,BARRIOS UNIDOS,4.671811,-74.073197,Euro Snack,4.671697064114313,-74.05815984759974,German Restaurant
424,424,BARRIOS UNIDOS,4.671811,-74.073197,"Brisas del Mar, Cevicheria.",4.659427708870597,-74.07011379715127,Seafood Restaurant
425,425,BARRIOS UNIDOS,4.671811,-74.073197,Coctel del Mar,4.657502,-74.065303,Seafood Restaurant
430,430,BARRIOS UNIDOS,4.671811,-74.073197,Restaurante Los Galenos,4.680236432641787,-74.05740140607165,Restaurant
438,438,BARRIOS UNIDOS,4.671811,-74.073197,Callao Sanguchería,4.664814209671388,-74.05665515292554,Latin American Restaurant
440,440,BARRIOS UNIDOS,4.671811,-74.073197,Restaurante La Casa Del Viudo,4.683859647691606,-74.06251951633436,Seafood Restaurant
441,441,BARRIOS UNIDOS,4.671811,-74.073197,WOK,4.667498,-74.054505,Asian Restaurant
442,442,BARRIOS UNIDOS,4.671811,-74.073197,La Brasserie,4.669580570879838,-74.05355965789451,French Restaurant
443,443,BARRIOS UNIDOS,4.671811,-74.073197,Osaka - Cocina Nikkei,4.669464798431299,-74.05359536794212,Asian Restaurant
444,444,BARRIOS UNIDOS,4.671811,-74.073197,Central Cevichería,4.669329936768817,-74.05353204721483,Seafood Restaurant
451,451,BARRIOS UNIDOS,4.671811,-74.073197,Di Lucca,4.6695077578919415,-74.05343807879011,Italian Restaurant
452,452,BARRIOS UNIDOS,4.671811,-74.073197,Primi,4.670243670162543,-74.05320001998568,Italian Restaurant
453,453,BARRIOS UNIDOS,4.671811,-74.073197,Sr Grill,4.688403539599489,-74.06237548812881,Restaurant
456,456,BARRIOS UNIDOS,4.671811,-74.073197,Crepes & Waffles,4.66776965235435,-74.05369360941366,French Restaurant
457,457,BARRIOS UNIDOS,4.671811,-74.073197,Upper Side 81st  Street,4.6664628387860505,-74.05513179202947,Restaurant
460,460,BARRIOS UNIDOS,4.671811,-74.073197,Tremenda Sal & Dulce,4.677484556806707,-74.05412538444344,Restaurant
470,470,ENGATIVÁ,4.7071,-74.1072,El Carnal,4.71057105236233,-74.1120844961293,Mexican Restaurant
471,471,ENGATIVÁ,4.7071,-74.1072,Pescaderia El Velero,4.700926201488641,-74.09785674135921,Seafood Restaurant
474,474,ENGATIVÁ,4.7071,-74.1072,Tranvia,4.71816485211446,-74.11115548534717,Restaurant
475,475,ENGATIVÁ,4.7071,-74.1072,Crepes & Waffles,4.697899058270925,-74.10578972301872,Restaurant
479,479,ENGATIVÁ,4.7071,-74.1072,Crepes & Waffles,4.694761534398693,-74.08642029509838,Restaurant
481,481,ENGATIVÁ,4.7071,-74.1072,WOK Titán,4.694741365812211,-74.08641260307732,Asian Restaurant
487,487,ENGATIVÁ,4.7071,-74.1072,Hamburguesería El Antojo,4.716156482696533,-74.123779296875,Fast Food Restaurant
489,489,ENGATIVÁ,4.7071,-74.1072,chorizos el chamo,4.717832201831927,-74.11179462989102,Fast Food Restaurant
499,499,ENGATIVÁ,4.7071,-74.1072,KFC,4.7106978395006935,-74.11211580383339,Fast Food Restaurant
502,502,ENGATIVÁ,4.7071,-74.1072,Archie`s,4.694714922358298,-74.08640052507393,Italian Restaurant
503,503,ENGATIVÁ,4.7071,-74.1072,Empanadas De La Cima,4.698163093684106,-74.09272967850411,Ethiopian Restaurant
